Orthogroup	Allma1_GeneCatalog_proteins_20131203.aa	Blabri1_GeneCatalog_proteins_20160901.aa	Blastocladiella_emersonii_ATCC_22665.proteins	Catan2_GeneCatalog_proteins_20160412.aa	Chytriomyces_confervae_GCA_006535975_ASM653597v1_protein	Parsed1_GeneCatalog_proteins_20170905.aa	Rhihy1_GeneCatalog_proteins_20151219.aa	Total
OG0000136	16	1	2	5	0	3	0	27
OG0000137	10	1	2	2	5	2	5	27
OG0000138	3	5	2	0	5	0	12	27
OG0000139	0	2	0	25	0	0	0	27
OG0000140	0	0	0	27	0	0	0	27
OG0000141	0	0	0	27	0	0	0	27
OG0000142	0	0	0	0	17	0	10	27
OG0000143	25	0	0	1	0	0	0	26
OG0000144	4	3	4	4	3	5	3	26
OG0000145	19	3	2	2	0	0	0	26
OG0000146	6	1	1	4	1	5	8	26
OG0000147	2	2	11	1	4	2	4	26
OG0000148	8	6	4	3	2	1	2	26
OG0000149	1	1	3	5	8	3	5	26
OG0000150	2	0	1	2	7	0	14	26
OG0000151	8	7	4	2	2	2	1	26
OG0000152	3	3	1	1	4	1	13	26
OG0000153	0	1	24	1	0	0	0	26
OG0000154	0	0	26	0	0	0	0	26
OG0000155	0	0	26	0	0	0	0	26
OG0000156	0	0	0	0	0	0	26	26
OG0000157	8	3	4	1	4	1	4	25
OG0000158	3	4	4	3	4	3	4	25
OG0000159	12	3	2	2	1	4	1	25
OG0000160	2	1	1	1	2	1	17	25
OG0000161	2	0	1	3	6	0	13	25
OG0000162	4	4	3	4	3	5	2	25
OG0000163	2	5	2	5	6	1	4	25
OG0000164	0	20	1	4	0	0	0	25
OG0000165	0	0	25	0	0	0	0	25
OG0000166	0	0	1	0	2	1	21	25
OG0000167	0	0	25	0	0	0	0	25
OG0000168	0	0	25	0	0	0	0	25
OG0000169	0	0	0	0	2	0	23	25
OG0000170	0	0	0	0	0	0	25	25
OG0000171	9	2	2	2	3	1	5	24
OG0000172	9	2	2	3	4	1	3	24
OG0000173	2	0	0	22	0	0	0	24
OG0000174	4	3	9	7	0	1	0	24
OG0000175	2	5	2	8	3	0	4	24
OG0000176	2	1	1	1	7	1	11	24
OG0000177	10	0	12	2	0	0	0	24
OG0000178	2	1	4	12	3	2	0	24
OG0000179	6	5	2	1	3	5	2	24
OG0000180	1	2	20	1	0	0	0	24
OG0000181	0	21	0	1	0	0	2	24
OG0000182	0	0	24	0	0	0	0	24
OG0000183	0	0	12	7	0	5	0	24
OG0000184	0	0	0	24	0	0	0	24
